_id,OBJECTID,YOL_ID,SHAPE_Length,YOL_ISMI,YOL_TURU,YOL_TIPI,SERIT_SAYISI,KULLANILAN_SERIT,KAPLAMA_CINSI,YOLKN,IBB_KIMLIKNO,ACIKLAMA,UKOME_OZET,UKOME_GIRIS,UKOME_CIKIS,ANAARTER_TIP,SHAPE_Length_1
973,973,1027203,52.60086733,Sarayardı Cad.,2,1,1t,1,Asfalt,1027203,197968,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),28.24855477
974,974,1027216,507.5964727,Kurbağalıdere Cad.,2,1,2t,2,Asfalt,1027216,191532,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),63.7874904
975,975,1027259,7626.18815,Fahrettin Kerim Gökay Cad.,2,1,2t,2,Asfalt,1027259,123963,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),5.931954579
976,976,1027305,7777.808479,Necip Fazıl Bulvarı,11,1,2t,2,Asfalt,1027305,140138,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),180.1388659
977,977,1027332,940.7193381,Yumurtacı Abdibey Cad.,2,1,2ç,1,Asfalt,1027332,205769,(20.08.2002) Karayolları Protokolü ve (20.10.2002) 2002/30 sayılı Bakanlık kararı ile (1.11.2002) Tarihiyle yürürlüğe girmiştir,Anaarter (2002 DEVİR inden Kalan Yollar),20.08.2002 Karayolları Protokolü ve (1.11.2002) Tarihiyle yürürlüğe girmiştir,Hala Anaarter,Anaarter (Mevcut)(11),97.59325257
978,978,1027371,903.9234296,Balaban Cad.,2,1,2t,2,Asfalt,1027371,324941,UKOME2009/8-1 (17.12.2009) Kararıyla ANAARTER oldu,Anaarter (2009/8-1 EKLENEN) (3),UKOME2009/8-1 (17.12.2009),Hala Anaarter,Anaarter (UKOME 2009/8-1 ile)(33),45.33087226
979,979,1027373,1464.64869,Söğütlüçeşme Cad.,2,1,3t,3,Asfalt,1027373,302870,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),65.25694928
980,980,1027402,206.4755728,Ataşehir Bulvarı,1,1,2t,2,Parke,1027402,306205,UKOME2009/8-1 (17.12.2009) Kararıyla ANAARTER oldu,Anaarter (2009/8-1 EKLENEN) (3),UKOME2009/8-1 (17.12.2009),Hala Anaarter,Anaarter (UKOME 2009/8-1 ile)(33),32.01191593
981,981,1027477,116.6767445,Albay Faik Sözdener Cad.,2,1,1t,1,Asfalt,1027477,428237,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),116.6767445
982,982,1027478,487.6789175,Mahmutbaba Sk.,3,1,1t,1,Asfalt,1027478,123484,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),69.44289952
